STATIONS_ID,MESS_DATUM,QN_3,  FX,  FM,QN_4, RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK,eor,MESS_DATUM_parsed
2564,19940101,10,8.7,2.9,10,0.1,6,1.2,0,4.0,6.5,1002.8,1.6,94.0,3.0,1.2,0.2,eor,1994-01-01
2564,19940102,10,8.7,2.8,10,0.0,8,0.0,0,7.0,6.0,994.8,1.4,89.0,1.9,0.9,-0.3,eor,1994-01-02
2564,19940103,10,10.8,2.2,10,2.4,6,0.4,0,7.7,6.0,997.0,1.8,86.0,2.3,1.0,0.4,eor,1994-01-03
2564,19940104,10,13.4,4.6,10,0.9,6,1.3,0,5.3,7.0,989.2,5.2,78.0,6.0,2.0,1.6,eor,1994-01-04
2564,19940105,10,11.8,3.9,10,5.0,8,0.2,0,7.7,7.4,984.8,4.4,89.0,5.6,2.9,3.7,eor,1994-01-05
2564,19940106,10,9.8,2.1,10,0.0,6,0.0,0,7.0,7.9,985.4,5.0,91.0,6.0,3.2,2.5,eor,1994-01-06
2564,19940107,10,10.8,3.3,10,0.2,6,0.0,0,5.0,7.2,991.4,4.6,82.0,7.3,3.0,3.2,eor,1994-01-07
2564,19940108,10,9.8,3.1,10,0.0,0,4.8,0,3.7,6.9,1006.7,3.1,87.0,6.0,1.4,1.8,eor,1994-01-08
2564,19940109,10,8.2,1.8,10,0.0,0,2.4,0,5.3,6.2,1009.6,1.7,91.0,3.2,-0.7,-1.8,eor,1994-01-09
2564,19940110,10,9.3,3.3,10,0.1,6,0.0,0,8.0,7.0,1002.4,2.7,94.0,4.0,1.5,1.0,eor,1994-01-10
2564,19940111,10,9.8,3.1,10,0.0,6,0.0,0,8.0,6.4,1003.9,1.8,92.0,2.6,0.7,1.0,eor,1994-01-11
2564,19940112,10,15.4,4.1,10,9.0,6,0.0,0,8.0,8.5,999.1,6.4,90.0,7.2,1.9,1.6,eor,1994-01-12
2564,19940113,10,22.1,9.2,10,2.1,6,0.7,0,6.7,8.2,996.7,8.4,74.0,11.2,7.0,4.4,eor,1994-01-13
2564,19940114,10,23.1,9.1,10,2.4,6,0.3,0,7.0,7.6,998.4,5.6,82.0,8.3,4.7,5.6,eor,1994-01-14
