id,Datum,Umsatz,Temperatur,Windgeschwindigkeit,KielerWoche,Umsatz_lag_1,Umsatz_lag_7,Umsatz_rolling_7,WettercodeDunst,WettercodeExtremwetter,WettercodeKlar,WettercodeNachSchlechtemWetter,WettercodeNebel,WettercodeRegen,WettercodeSchnee,WarengruppeBread,WarengruppeRolls,WarengruppeCroissants,WarengruppeConfectionery,WarengruppeCake,WarengruppeSeasonalBread,WochentagFreitag,WochentagSamstag,WochentagSonntag,WochentagUnterDerWoche,Januar,Februar,Maerz,April,Mai,Juni,Juli,August,September,Oktober,November,Dezember,BewoelkungWolkenBedeckt,BewoelkungWolkenBewoelkt,BewoelkungWolkenKlar,FeiertagChristiHimmelfahrt,FeiertagErsterMai,FeiertagHeiligabend,FeiertagOstermontag,FeiertagPfingstmontag,FeiertagSilvester,FeiertagTagDerDeutschenEinheit,TagVorFeiertag,Fastenzeit
1307011,2013-07-01,148.828353112183,17.8375,15.0,0.0,,,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307013,2013-07-01,201.198425690037,17.8375,15.0,0.0,148.828353112183,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307014,2013-07-01,65.890168799361,17.8375,15.0,0.0,201.198425690037,,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307015,2013-07-01,317.475874933038,17.8375,15.0,0.0,65.890168799361,,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307012,2013-07-01,535.856284785361,17.8375,15.0,0.0,317.475874933038,,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307024,2013-07-02,74.5439171827412,17.3125,10.0,0.0,535.856284785361,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1307023,2013-07-02,265.261253994438,17.3125,10.0,0.0,74.5439171827412,,229.86489692816562,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1307021,2013-07-02,159.79375714468,17.3125,10.0,0.0,265.261253994438,148.828353112183,231.4313832185223,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1307025,2013-07-02,383.628681612577,17.3125,10.0,0.0,159.79375714468,201.198425690037,257.49284835031375,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1307022,2013-07-02,546.780787392297,17.3125,10.0,0.0,383.628681612577,65.890168799361,326.19150814930464,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1307035,2013-07-03,305.523072325318,21.075,6.0,0.0,546.780787392297,317.475874933038,324.4839649196304,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307033,2013-07-03,210.260241465493,21.075,6.0,0.0,305.523072325318,535.856284785361,277.97024444536345,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307031,2013-07-03,111.885593514353,21.075,6.0,0.0,210.260241465493,74.5439171827412,283.30476963559374,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307034,2013-07-03,69.2627280649987,21.075,6.0,0.0,111.885593514353,265.261253994438,255.30498021710238,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307032,2013-07-03,427.343258749983,21.075,6.0,0.0,69.2627280649987,159.79375714468,293.5263375892886,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307045,2013-07-04,308.408167942149,18.85,7.0,0.0,427.343258749983,383.628681612577,282.78054992208456,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
