id,Datum,Fastenzeit
130701,2013-07-01,0
130702,2013-07-02,0
130703,2013-07-03,0
130704,2013-07-04,0
130705,2013-07-05,0
130706,2013-07-06,0
130707,2013-07-07,0
130708,2013-07-08,0
130709,2013-07-09,0
130710,2013-07-10,0
130711,2013-07-11,0
130712,2013-07-12,0
130713,2013-07-13,0
130714,2013-07-14,0
130715,2013-07-15,0
130716,2013-07-16,0
130717,2013-07-17,0
130718,2013-07-18,0
130719,2013-07-19,0
130720,2013-07-20,0
130721,2013-07-21,0
130722,2013-07-22,0
130723,2013-07-23,0
130724,2013-07-24,0
130725,2013-07-25,0
130726,2013-07-26,0
130727,2013-07-27,0
130728,2013-07-28,0
130729,2013-07-29,0
130730,2013-07-30,0
130731,2013-07-31,0
130801,2013-08-01,0
130802,2013-08-02,0
130803,2013-08-03,0
130804,2013-08-04,0
130805,2013-08-05,0
130806,2013-08-06,0
130807,2013-08-07,0
130808,2013-08-08,0
130809,2013-08-09,0
130810,2013-08-10,0
130811,2013-08-11,0
130812,2013-08-12,0
130813,2013-08-13,0
130814,2013-08-14,0
130815,2013-08-15,0
130816,2013-08-16,0
130817,2013-08-17,0
130818,2013-08-18,0
130819,2013-08-19,0
130820,2013-08-20,0
130821,2013-08-21,0
130822,2013-08-22,0
130823,2013-08-23,0
130824,2013-08-24,0
130825,2013-08-25,0
130826,2013-08-26,0
130827,2013-08-27,0
130828,2013-08-28,0
130829,2013-08-29,0
130830,2013-08-30,0
130831,2013-08-31,0
130901,2013-09-01,0
130902,2013-09-02,0
130903,2013-09-03,0
130904,2013-09-04,0
130905,2013-09-05,0
130906,2013-09-06,0
130907,2013-09-07,0
130908,2013-09-08,0
130909,2013-09-09,0
130910,2013-09-10,0
130911,2013-09-11,0
130912,2013-09-12,0
130913,2013-09-13,0
130914,2013-09-14,0
130915,2013-09-15,0
130916,2013-09-16,0
130917,2013-09-17,0
130918,2013-09-18,0
130919,2013-09-19,0
130920,2013-09-20,0
130921,2013-09-21,0
130922,2013-09-22,0
130923,2013-09-23,0
130924,2013-09-24,0
130925,2013-09-25,0
130926,2013-09-26,0
130927,2013-09-27,0
130928,2013-09-28,0
130929,2013-09-29,0
130930,2013-09-30,0
131001,2013-10-01,0
131002,2013-10-02,0
131003,2013-10-03,0
131004,2013-10-04,0
131005,2013-10-05,0
131006,2013-10-06,0
131007,2013-10-07,0
131008,2013-10-08,0
131009,2013-10-09,0
131010,2013-10-10,0
131011,2013-10-11,0
131012,2013-10-12,0
131013,2013-10-13,0
131014,2013-10-14,0
131015,2013-10-15,0
131016,2013-10-16,0
131017,2013-10-17,0
131018,2013-10-18,0
131019,2013-10-19,0
131020,2013-10-20,0
131021,2013-10-21,0
131022,2013-10-22,0
131023,2013-10-23,0
131024,2013-10-24,0
131025,2013-10-25,0
131026,2013-10-26,0
131027,2013-10-27,0
131028,2013-10-28,0
131029,2013-10-29,0
131030,2013-10-30,0
131031,2013-10-31,0
131101,2013-11-01,0
131102,2013-11-02,0
131103,2013-11-03,0
131104,2013-11-04,0
131105,2013-11-05,0
131106,2013-11-06,0
131107,2013-11-07,0
131108,2013-11-08,0
131109,2013-11-09,0
131110,2013-11-10,0
131111,2013-11-11,0
131112,2013-11-12,0
131113,2013-11-13,0
131114,2013-11-14,0
131115,2013-11-15,0
131116,2013-11-16,0
131117,2013-11-17,0
131118,2013-11-18,0
131119,2013-11-19,0
131120,2013-11-20,0
131121,2013-11-21,0
131122,2013-11-22,0
131123,2013-11-23,0
131124,2013-11-24,0
131125,2013-11-25,0
131126,2013-11-26,0
131127,2013-11-27,0
131128,2013-11-28,0
131129,2013-11-29,0
131130,2013-11-30,0
131201,2013-12-01,0
131202,2013-12-02,0
131203,2013-12-03,0
131204,2013-12-04,0
131205,2013-12-05,0
131206,2013-12-06,0
131207,2013-12-07,0
131208,2013-12-08,0
131209,2013-12-09,0
131210,2013-12-10,0
131211,2013-12-11,0
131212,2013-12-12,0
131213,2013-12-13,0
131214,2013-12-14,0
131215,2013-12-15,0
131216,2013-12-16,0
131217,2013-12-17,0
131218,2013-12-18,0
131219,2013-12-19,0
131220,2013-12-20,0
131221,2013-12-21,0
131222,2013-12-22,0
131223,2013-12-23,0
131224,2013-12-24,0
131225,2013-12-25,0
131226,2013-12-26,0
131227,2013-12-27,0
131228,2013-12-28,0
131229,2013-12-29,0
131230,2013-12-30,0
131231,2013-12-31,0
140101,2014-01-01,0
140102,2014-01-02,0
140103,2014-01-03,0
140104,2014-01-04,0
140105,2014-01-05,0
140106,2014-01-06,0
140107,2014-01-07,0
140108,2014-01-08,0
140109,2014-01-09,0
140110,2014-01-10,0
140111,2014-01-11,0
140112,2014-01-12,0
140113,2014-01-13,0
140114,2014-01-14,0
140115,2014-01-15,0
140116,2014-01-16,0
140117,2014-01-17,0
140118,2014-01-18,0
140119,2014-01-19,0
140120,2014-01-20,0
140121,2014-01-21,0
140122,2014-01-22,0
140123,2014-01-23,0
140124,2014-01-24,0
140125,2014-01-25,0
140126,2014-01-26,0
140127,2014-01-27,0
140128,2014-01-28,0
140129,2014-01-29,0
140130,2014-01-30,0
140131,2014-01-31,0
140201,2014-02-01,0
140202,2014-02-02,0
140203,2014-02-03,0
140204,2014-02-04,0
140205,2014-02-05,0
140206,2014-02-06,0
140207,2014-02-07,0
140208,2014-02-08,0
140209,2014-02-09,0
140210,2014-02-10,0
140211,2014-02-11,0
140212,2014-02-12,0
140213,2014-02-13,0
140214,2014-02-14,0
140215,2014-02-15,0
140216,2014-02-16,0
140217,2014-02-17,0
140218,2014-02-18,0
140219,2014-02-19,0
140220,2014-02-20,0
140221,2014-02-21,0
140222,2014-02-22,0
140223,2014-02-23,0
140224,2014-02-24,0
140225,2014-02-25,0
140226,2014-02-26,0
140227,2014-02-27,0
