Peak_Year,Peak_Date,Datum,Days_From_Peak,Is_Peak,total_sales,MA_14,Temperatur,Bewoelkung,Windgeschwindigkeit,Wettercode
2013,2013-08-04,2013-07-30,-5,0,1600.8473293204288,1585.8988518265435,21.075,5.0,13,21.0
2013,2013-08-04,2013-07-31,-4,0,1560.649380745598,1591.8259273308383,20.275,5.0,16,65.0
2013,2013-08-04,2013-08-01,-3,0,1512.7538168934125,1600.6116147924147,23.4,6.0,7,21.0
2013,2013-08-04,2013-08-02,-2,0,1537.074863033557,1601.325793549758,31.4375,0.0,7,
2013,2013-08-04,2013-08-03,-1,0,2022.0929783769382,1618.0298611288729,23.3625,4.0,11,63.0
2013,2013-08-04,2013-08-04,0,1,1879.1788638421608,1638.0415132740297,23.05,3.0,8,
2013,2013-08-04,2013-08-05,1,0,1353.5850885584,1625.266250285484,25.8,0.0,10,
2013,2013-08-04,2013-08-06,2,0,1486.208899835055,1623.4607316827976,22.225,5.0,13,
2013,2013-08-04,2013-08-07,3,0,1528.2338963920583,1619.8219452736091,19.2125,4.0,8,
2014,2014-08-24,2014-08-19,-5,0,1483.1730241993864,1715.516439297915,14.0875,6.0,12,61.0
2014,2014-08-24,2014-08-20,-4,0,1522.7977845449216,1715.5246239447297,15.675,5.0,17,21.0
2014,2014-08-24,2014-08-21,-3,0,1599.9552932782021,1707.038301679761,16.2625,5.0,11,21.0
2014,2014-08-24,2014-08-22,-2,0,1693.988972927908,1708.460578580338,16.325,7.0,12,61.0
2014,2014-08-24,2014-08-23,-1,0,1974.9300590475925,1725.3990504733536,15.9875,4.0,11,21.0
2014,2014-08-24,2014-08-24,0,1,1989.2619088246608,1727.6122939002666,16.3125,3.0,20,21.0
2014,2014-08-24,2014-08-25,1,0,1257.524188067005,1693.3508087033972,14.7875,5.0,13,65.0
2014,2014-08-24,2014-08-26,2,0,1187.3994087168912,1664.1724732699602,17.325,3.0,7,
2014,2014-08-24,2014-08-27,3,0,1346.7240472828973,1647.7778278379742,19.875,1.0,9,
2015,2015-08-08,2015-08-03,-5,0,1429.7873189952006,1430.7537483115552,26.0,0.0,7,
2015,2015-08-08,2015-08-04,-4,0,1453.3887723922055,1444.375171313443,26.5,2.0,15,61.0
2015,2015-08-08,2015-08-05,-3,0,1479.6861400346083,1459.8445074855729,21.75,2.0,8,21.0
2015,2015-08-08,2015-08-06,-2,0,1517.1781152654305,1469.859392204335,27.625,1.0,6,
2015,2015-08-08,2015-08-07,-1,0,1545.08950987007,1477.6447658244979,20.0,4.0,9,63.0
2015,2015-08-08,2015-08-08,0,1,1800.496091694034,1506.604464090251,19.125,6.0,10,
2015,2015-08-08,2015-08-09,1,0,1487.8705919746017,1497.0632341722344,21.0,0.0,10,
2015,2015-08-08,2015-08-10,2,0,1402.4719460315816,1500.7777630344867,22.5,3.0,8,21.0
2015,2015-08-08,2015-08-11,3,0,1299.7715258627677,1493.957712062451,22.125,4.0,7,
2016,2016-08-13,2016-08-08,-5,0,1510.026798115111,1500.8033275659398,19.0,5.0,18,21.0
2016,2016-08-13,2016-08-09,-4,0,1510.9484695102203,1505.7195836799208,15.375,5.0,18,21.0
2016,2016-08-13,2016-08-10,-3,0,1581.167227677361,1518.970331174449,14.5,4.0,15,95.0
2016,2016-08-13,2016-08-11,-2,0,1657.4259469511148,1530.3614953056015,13.875,7.0,9,61.0
2016,2016-08-13,2016-08-12,-1,0,1560.551041603761,1537.416133149331,18.25,7.0,12,61.0
2016,2016-08-13,2016-08-13,0,1,2014.038470118378,1569.199059175672,18.125,7.0,12,61.0
2016,2016-08-13,2016-08-16,3,0,1321.9270851308286,1549.1582968381904,19.375,2.0,10,
2017,2017-08-13,2017-08-08,-5,0,1344.611110980731,1401.546899345561,23.0625,6.0,8,21.0
2017,2017-08-13,2017-08-09,-4,0,1288.13872298231,1397.9916154206278,21.125,1.0,11,0.0
2017,2017-08-13,2017-08-10,-3,0,1240.3956117712096,1381.405909414637,19.6,6.0,9,
2017,2017-08-13,2017-08-11,-2,0,1483.1141725782581,1389.1931628151312,16.375,7.0,8,61.0
2017,2017-08-13,2017-08-12,-1,0,1602.5270850482632,1399.7392964141636,15.5625,7.0,8,61.0
2017,2017-08-13,2017-08-13,0,1,1516.6948842405934,1405.3518808824217,17.825,4.0,11,21.0
2017,2017-08-13,2017-08-14,1,0,1275.7050893798023,1402.533650335361,18.6375,1.0,12,0.0
2017,2017-08-13,2017-08-15,2,0,1254.702252790265,1389.8301456393035,25.0625,2.0,9,
2017,2017-08-13,2017-08-16,3,0,1182.099137635264,1365.55715156594,20.8625,3.0,8,0.0
2018,2018-07-30,2018-07-25,-5,0,1426.9715637941674,1484.3528568451609,28.425,1.0,11,61.0
2018,2018-07-30,2018-07-26,-4,0,1566.7087293164775,1498.7602420027772,28.875,0.0,12,5.0
2018,2018-07-30,2018-07-27,-3,0,1572.8470526039152,1510.8900708527228,27.5875,0.0,16,5.0
2018,2018-07-30,2018-07-28,-2,0,1646.938416976181,1515.083965080273,28.75,3.0,11,95.0
2018,2018-07-30,2018-07-29,-1,0,1750.2215449884459,1534.9642339843153,24.55,0.0,6,
2018,2018-07-30,2018-07-30,0,1,1510.4585732063945,1544.1229839732514,27.7875,6.0,10,21.0
2018,2018-07-30,2018-07-31,1,0,1313.474070818601,1529.879304347426,31.2875,5.0,11,
